@relation iots-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C11-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C12-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-14

@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute collectionf {remrecoshr,remshr,remserv,remoptishr,reminsi,remreco,locopti,reminsishr,locinsi,remopti,locally,locreco}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}

@data
1,1,1,2,2,2,2,1,0,refr,preshouse,locinsi,coalarm,locally,insight
1,3,3,1,3,2,2,1,0,hvac,preshouse,reminsi,locsens,remserv,insight
1,3,3,3,3,1,2,1,0,alarm,preshouse,locinsi,coassis,locally,insight
0,-3,-2,-2,-2,-3,2,1,0,assis,preshouse,remoptishr,watch,share,opti
1,2,3,1,3,3,2,1,0,light,opauto,remserv,micro,remserv,nothing
1,3,3,3,2,2,2,1,1,assis,opauto,locally,cowash,locally,nothing
1,3,3,3,3,2,2,1,0,tv,alert,locopti,colight,locally,opti
0,-3,-3,-3,-3,-3,2,1,1,tv,lochouse,reminsishr,cosecu,share,insight
1,3,3,3,3,1,2,1,1,secu,lochouse,locreco,cotv,locally,reco
1,3,3,3,3,1,2,1,0,secu,alert,remshr,cohvac,share,nothing
0,-3,-3,-1,-3,-3,2,1,1,wash,lochouse,remreco,cam,remserv,reco
0,-1,-3,-1,-2,-3,2,1,0,alarm,opauto,remrecoshr,corefri,share,reco
0,0,0,0,-3,-3,2,1,0,refr,alert,remopti,coalarm,remserv,opti
0,-2,-2,-1,-2,-3,0,2,1,tv,lochouse,remoptishr,cowash,share,opti
0,-1,-1,-1,-1,-1,0,2,0,secu,alert,remrecoshr,coassis,share,reco
0,-2,-1,-2,-3,-2,0,2,1,refr,preshouse,remshr,cotv,share,nothing
0,-2,-3,-1,-2,-2,0,2,1,wash,lochouse,reminsi,cosecu,remserv,insight
1,1,2,0,1,2,0,2,0,hvac,preshouse,remopti,watch,remserv,opti
0,-1,-2,-1,-2,-2,0,2,0,light,opauto,remreco,corefri,remserv,reco
1,2,2,1,2,-1,0,2,0,refr,opauto,locreco,micro,locally,reco
1,-1,1,1,1,1,0,2,0,assis,alert,remserv,cohvac,remserv,nothing
1,2,1,2,2,-1,0,2,0,tv,alert,locally,coalarm,locally,nothing
0,-2,0,-1,-1,-2,0,2,0,alarm,opauto,reminsishr,colight,share,insight
1,2,1,2,2,1,0,2,0,alarm,preshouse,locopti,locsens,locally,opti
1,2,1,2,2,1,0,2,1,secu,lochouse,locinsi,cam,locally,insight
1,0,0,0,0,2,0,0,0,assis,preshouse,locally,watch,locally,nothing
0,-1,-1,0,-1,1,0,0,0,secu,alert,locreco,cohvac,locally,reco
0,-2,-2,-2,-2,2,0,0,0,tv,alert,reminsishr,locsens,share,insight
1,1,0,0,-2,2,0,0,0,wash,alert,remreco,coassis,remserv,reco
0,-2,-2,-2,-2,2,0,0,0,refr,lochouse,remopti,cowash,remserv,opti
0,-3,0,-3,-3,2,0,0,1,assis,opauto,remoptishr,coalarm,share,opti
0,-3,-3,-2,-3,2,0,0,0,alarm,preshouse,remrecoshr,cam,share,reco
0,-3,-3,-3,-3,2,0,0,1,secu,lochouse,remshr,micro,share,nothing
0,-2,0,-3,-3,2,0,0,0,light,preshouse,remserv,cotv,remserv,nothing
0,-2,-2,0,-2,2,0,0,1,alarm,opauto,locinsi,corefri,locally,insight
1,0,0,-1,-1,2,0,0,0,tv,lochouse,locopti,cosecu,locally,opti
0,-1,-1,-1,-1,2,0,0,1,hvac,opauto,reminsi,colight,remserv,insight
0,0,-1,1,-1,1,1,2,0,tv,alert,remshr,locsens,share,nothing
1,0,-2,0,-2,1,1,2,1,assis,opauto,remrecoshr,coalarm,share,reco
1,-2,-1,-1,1,-1,1,2,0,refr,lochouse,remreco,cowash,remserv,reco
1,-2,1,0,-1,1,1,2,1,alarm,alert,remopti,corefri,remserv,opti
0,0,-1,1,-1,2,1,2,0,secu,preshouse,reminsi,cohvac,remserv,insight
0,-3,1,-1,-3,-2,1,2,0,wash,opauto,locally,cam,locally,nothing
0,1,1,1,1,1,1,2,1,hvac,opauto,remserv,colight,remserv,nothing
1,2,2,2,2,2,1,2,0,assis,preshouse,locinsi,watch,locally,insight
0,-2,1,0,-2,-2,1,2,0,light,lochouse,reminsishr,cotv,share,insight
1,0,1,-1,1,1,1,2,0,wash,preshouse,remoptishr,coassis,share,opti
1,1,0,-1,-1,2,1,2,0,tv,lochouse,locreco,cosecu,locally,reco
0,-2,-2,-2,1,-1,1,2,1,light,alert,locopti,micro,locally,opti
0,-3,1,-2,-2,2,0,1,0,hvac,opauto,remserv,cam,remserv,nothing
0,-1,-1,-1,0,-1,0,1,0,secu,preshouse,reminsi,coalarm,remserv,insight
1,3,3,2,3,3,0,1,0,light,alert,locopti,cowash,locally,opti
0,-1,1,-1,1,2,0,1,0,assis,opauto,remrecoshr,cosecu,share,reco
1,3,1,2,3,3,0,1,0,assis,preshouse,locinsi,colight,locally,insight
0,1,-3,2,1,1,0,1,1,tv,lochouse,locreco,coassis,locally,reco
1,3,1,2,2,1,0,1,1,wash,opauto,locally,cohvac,locally,nothing
0,-3,-3,-2,-2,-2,0,1,0,wash,preshouse,remoptishr,micro,share,opti
1,1,1,-1,2,2,0,1,1,light,lochouse,reminsishr,watch,share,insight
0,-2,-1,1,1,3,0,1,0,alarm,alert,remopti,cotv,remserv,opti
1,2,1,0,-1,-2,0,1,1,refr,lochouse,remreco,locsens,remserv,reco
0,-1,-2,2,1,2,0,1,0,tv,alert,remshr,corefri,share,nothing
0,1,-1,1,0,-1,2,0,1,alarm,preshouse,locally,cowash,locally,nothing
