@relation 'Framing0-weka.filters.unsupervised.attribute.Remove-R1-4,6-17-weka.filters.unsupervised.attribute.Reorder-R2-7,1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
secu,alert,cowash,locally,insight,1
assis,lochouse,locsens,remserv,nothing,1
refr,opauto,cosecu,share,nothing,1
tv,lochouse,corefri,locally,nothing,1
alarm,opauto,cohvac,locally,opti,1
tv,alert,cam,share,opti,1
tv,lochouse,micro,share,nothing,0
wash,preshouse,watch,locally,nothing,0
tv,alert,cohvac,locally,reco,0
alarm,lochouse,cowash,remserv,opti,0
hvac,preshouse,cotv,remserv,nothing,0
refr,alert,coassis,remserv,reco,0
wash,opauto,coalarm,share,opti,0
light,lochouse,cosecu,locally,opti,0
secu,opauto,colight,remserv,insight,1
assis,opauto,corefri,locally,insight,0
assis,preshouse,cam,share,reco,0
light,alert,locsens,share,insight,0
light,alert,cotv,locally,reco,0
assis,lochouse,coalarm,remserv,opti,0
alarm,alert,cam,remserv,reco,0
hvac,lochouse,colight,locally,opti,1
refr,opauto,watch,share,opti,0
wash,preshouse,corefri,share,reco,0
refr,preshouse,cowash,locally,nothing,0
secu,preshouse,micro,remserv,nothing,0
wash,opauto,coassis,locally,insight,1
tv,opauto,locsens,remserv,insight,0
light,lochouse,cohvac,share,nothing,0
hvac,alert,cosecu,share,insight,0
secu,alert,cosecu,remserv,reco,0
wash,alert,cowash,share,insight,0
hvac,preshouse,cotv,locally,nothing,1
light,opauto,locsens,locally,insight,1
assis,lochouse,coassis,share,nothing,1
light,preshouse,colight,share,reco,0
wash,lochouse,coalarm,locally,opti,1
assis,alert,cam,locally,reco,0
alarm,opauto,watch,remserv,insight,1
tv,lochouse,micro,remserv,opti,0
hvac,opauto,cohvac,share,opti,1
refr,preshouse,corefri,remserv,nothing,0
tv,alert,micro,remserv,reco,0
light,lochouse,locsens,remserv,opti,0
secu,preshouse,colight,locally,nothing,1
hvac,preshouse,cohvac,share,reco,0
refr,lochouse,coassis,locally,opti,0
hvac,opauto,cotv,locally,insight,0
alarm,preshouse,watch,remserv,nothing,0
assis,opauto,cam,remserv,insight,0
wash,lochouse,cowash,share,nothing,0
refr,alert,corefri,share,insight,0
wash,alert,coalarm,locally,reco,0
secu,opauto,cosecu,share,opti,0
tv,preshouse,micro,remserv,reco,1
hvac,lochouse,cohvac,share,reco,0
wash,opauto,cowash,share,nothing,1
secu,alert,cosecu,share,opti,0
assis,alert,cam,remserv,insight,0
wash,preshouse,coalarm,locally,reco,1
secu,lochouse,colight,locally,nothing,1
alarm,lochouse,watch,remserv,nothing,1
refr,preshouse,corefri,share,insight,0
refr,opauto,coassis,locally,opti,1
light,opauto,locsens,remserv,opti,1
hvac,alert,cotv,locally,insight,1
light,opauto,colight,locally,insight,1
hvac,opauto,micro,share,opti,0
refr,preshouse,cam,remserv,nothing,0
secu,alert,locsens,remserv,reco,1
wash,alert,watch,share,insight,0
assis,lochouse,corefri,share,nothing,0
tv,lochouse,cotv,remserv,opti,1
wash,lochouse,cowash,locally,opti,0
alarm,opauto,coalarm,remserv,insight,0
assis,alert,coassis,locally,reco,1
hvac,preshouse,cohvac,locally,nothing,1
light,preshouse,cosecu,share,reco,1
secu,preshouse,coalarm,locally,nothing,1
refr,alert,colight,share,insight,0
secu,opauto,cowash,share,opti,1
hvac,preshouse,coassis,share,reco,0
light,lochouse,watch,remserv,opti,1
tv,alert,corefri,remserv,reco,1
refr,lochouse,locsens,locally,opti,0
assis,opauto,cosecu,remserv,insight,1
wash,alert,micro,locally,reco,1
hvac,opauto,cam,locally,insight,1
alarm,preshouse,cohvac,remserv,nothing,0
wash,lochouse,cotv,share,nothing,0
wash,lochouse,watch,locally,opti,0
hvac,opauto,cotv,share,opti,0
light,preshouse,locsens,share,reco,0
assis,lochouse,cam,share,nothing,0
light,opauto,cosecu,locally,insight,1
