@relation scenarioYang_new-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute sessionId numeric
@attribute userid numeric
@attribute cond numeric
@attribute senario numeric
@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute who numeric
@attribute what numeric
@attribute purpose numeric
@attribute collection numeric

@data
35,5517,415,49760,1,1,0,1,1,1,1,0,0,3,3,3,9
35,5517,415,49770,1,1,0,1,1,0,1,0,0,0,0,3,6
35,5517,415,49780,1,0,1,1,1,0,1,0,0,3,7,1,1
35,5517,415,49790,1,1,2,0,1,1,1,0,1,7,11,2,5
35,5517,415,49800,1,1,2,1,1,1,1,0,1,2,2,2,8
36,22879,870,104290,0,-3,-3,-3,-3,-3,2,0,0,1,10,3,5
36,22879,870,104300,1,1,1,1,1,0,2,0,1,4,5,1,0
36,22879,870,104310,0,-3,-3,-3,-3,-3,2,0,0,6,3,1,10
36,22879,870,104320,0,-3,-3,-3,-3,-3,2,0,1,5,2,0,9
36,22879,870,104330,1,0,1,0,0,0,2,0,1,7,8,0,3
36,22879,870,104340,0,-3,-3,-3,-3,-3,2,0,1,2,11,0,6
36,22879,870,104350,0,-3,-3,-3,-3,-3,2,0,0,4,1,3,8
36,22879,870,104360,0,-1,-1,-2,-2,0,2,0,0,5,6,2,1
36,22879,870,104370,0,0,0,0,0,0,2,0,0,6,7,3,2
36,22879,870,104380,0,-3,-3,-3,-3,-3,2,0,0,3,0,1,7
36,22879,870,104390,0,-3,-3,0,0,0,2,0,0,0,9,2,4
36,22879,870,104400,0,-3,-3,-3,-3,-3,2,0,0,7,4,2,11
37,42560,851,102010,0,-3,-1,2,3,0,2,0,1,2,2,1,4
37,42560,851,102020,0,-3,-1,-3,-3,2,2,0,0,1,9,1,11
37,42560,851,102030,0,-3,1,-1,-3,2,2,0,1,0,8,0,10
37,42560,851,102040,0,-1,1,-1,1,2,2,0,0,0,0,2,2
