@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
assis,alert,corefri,remserv,insight,cluster2,1
light,opauto,cosecu,remserv,opti,cluster2,1
refr,opauto,cam,locally,opti,cluster2,1
hvac,lochouse,cotv,share,reco,cluster2,1
refr,preshouse,coassis,share,insight,cluster2,1
secu,preshouse,cowash,locally,reco,cluster2,0
assis,alert,locsens,share,opti,cluster2,0
alarm,alert,cohvac,locally,insight,cluster2,1
hvac,alert,coassis,remserv,insight,cluster2,1
refr,opauto,colight,remserv,opti,cluster2,1
wash,preshouse,cotv,remserv,reco,cluster2,0
assis,lochouse,cosecu,locally,nothing,cluster2,1
alarm,lochouse,micro,share,reco,cluster2,0
secu,opauto,watch,share,nothing,cluster2,0
tv,opauto,corefri,locally,opti,cluster2,1
light,lochouse,coalarm,remserv,nothing,cluster2,0
tv,preshouse,cam,share,insight,cluster2,0
tv,alert,cohvac,share,nothing,cluster3,0
light,lochouse,cosecu,share,insight,cluster3,0
alarm,alert,coalarm,remserv,opti,cluster3,1
wash,preshouse,watch,share,opti,cluster3,1
wash,opauto,cowash,locally,nothing,cluster3,1
assis,preshouse,coassis,locally,insight,cluster3,1
secu,preshouse,locsens,remserv,insight,cluster3,0
refr,lochouse,cam,remserv,reco,cluster3,1
hvac,opauto,micro,remserv,nothing,cluster3,0
light,alert,colight,locally,opti,cluster3,1
tv,lochouse,cotv,locally,reco,cluster3,1
assis,opauto,corefri,share,reco,cluster3,1
tv,preshouse,corefri,locally,insight,cluster3,1
hvac,lochouse,coassis,remserv,reco,cluster3,0
alarm,alert,micro,share,nothing,cluster3,1
refr,preshouse,colight,remserv,insight,cluster3,1
light,opauto,watch,locally,nothing,cluster3,1
alarm,lochouse,cohvac,locally,reco,cluster3,1
assis,lochouse,locsens,share,insight,cluster3,0
assis,alert,cosecu,locally,opti,cluster3,1
tv,opauto,cam,share,reco,cluster3,0
light,preshouse,coalarm,share,opti,cluster3,0
wash,opauto,cotv,remserv,nothing,cluster3,1
secu,alert,cowash,remserv,opti,cluster3,1
tv,opauto,micro,share,opti,cluster2,1
hvac,lochouse,cotv,remserv,opti,cluster2,0
light,alert,locsens,remserv,reco,cluster2,0
secu,opauto,colight,locally,insight,cluster2,1
secu,preshouse,cosecu,share,reco,cluster2,0
refr,lochouse,corefri,share,nothing,cluster2,0
alarm,lochouse,cowash,locally,opti,cluster2,0
alarm,alert,watch,share,insight,cluster2,0
tv,preshouse,cohvac,locally,nothing,cluster2,0
wash,opauto,coalarm,remserv,insight,cluster2,0
assis,preshouse,cam,remserv,nothing,cluster2,1
refr,alert,coassis,locally,reco,cluster2,0
light,lochouse,corefri,share,insight,cluster2,0
tv,alert,cowash,share,nothing,cluster2,1
wash,opauto,colight,locally,nothing,cluster2,1
assis,opauto,cohvac,share,reco,cluster2,0
assis,preshouse,cotv,locally,insight,cluster2,1
wash,preshouse,cosecu,share,opti,cluster2,1
secu,preshouse,cam,remserv,insight,cluster2,1
light,alert,coassis,locally,opti,cluster2,1
tv,lochouse,coalarm,locally,reco,cluster2,1
alarm,alert,locsens,remserv,opti,cluster2,1
hvac,opauto,watch,remserv,nothing,cluster2,1
refr,lochouse,micro,remserv,reco,cluster2,0
hvac,preshouse,corefri,remserv,insight,cluster2,1
tv,lochouse,coassis,share,insight,cluster2,0
alarm,opauto,cotv,share,reco,cluster2,0
wash,lochouse,cohvac,remserv,reco,cluster2,1
secu,alert,coalarm,share,nothing,cluster2,0
alarm,preshouse,micro,locally,insight,cluster2,1
refr,alert,cosecu,remserv,opti,cluster2,1
assis,opauto,locsens,locally,nothing,cluster2,1
light,opauto,cowash,remserv,nothing,cluster2,1
secu,lochouse,watch,locally,reco,cluster2,1
tv,alert,cam,locally,opti,cluster2,1
assis,preshouse,colight,share,opti,cluster2,0
light,opauto,colight,share,reco,cluster2,1
light,preshouse,locsens,locally,insight,cluster2,1
secu,lochouse,cosecu,remserv,reco,cluster2,1
