@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
light,alert,cohvac,remserv,nothing,1
tv,preshouse,locsens,locally,opti,1
assis,alert,coalarm,locally,nothing,1
tv,opauto,colight,share,insight,0
alarm,alert,coassis,share,reco,0
alarm,lochouse,cam,locally,insight,1
wash,opauto,corefri,remserv,reco,0
secu,preshouse,cotv,share,nothing,0
refr,preshouse,watch,remserv,opti,0
secu,opauto,micro,locally,reco,1
assis,lochouse,cowash,share,opti,0
secu,alert,colight,share,opti,0
wash,opauto,coalarm,share,nothing,0
tv,preshouse,cohvac,remserv,reco,1
hvac,alert,micro,locally,insight,1
alarm,lochouse,cowash,remserv,nothing,0
wash,preshouse,watch,locally,reco,1
secu,lochouse,locsens,locally,nothing,1
assis,alert,corefri,remserv,insight,1
light,opauto,cosecu,remserv,opti,1
refr,opauto,cam,locally,opti,1
hvac,lochouse,cotv,share,reco,1
refr,preshouse,coassis,share,insight,1
secu,preshouse,cowash,locally,reco,0
assis,alert,locsens,share,opti,0
alarm,alert,cohvac,locally,insight,1
hvac,alert,coassis,remserv,insight,1
refr,opauto,colight,remserv,opti,1
wash,preshouse,cotv,remserv,reco,0
assis,lochouse,cosecu,locally,nothing,1
alarm,lochouse,micro,share,reco,0
secu,opauto,watch,share,nothing,0
tv,opauto,corefri,locally,opti,1
light,lochouse,coalarm,remserv,nothing,0
tv,preshouse,cam,share,insight,0
tv,alert,cohvac,share,nothing,0
light,lochouse,cosecu,share,insight,0
alarm,alert,coalarm,remserv,opti,1
wash,preshouse,watch,share,opti,1
wash,opauto,cowash,locally,nothing,1
assis,preshouse,coassis,locally,insight,1
secu,preshouse,locsens,remserv,insight,0
refr,lochouse,cam,remserv,reco,1
hvac,opauto,micro,remserv,nothing,0
light,alert,colight,locally,opti,1
tv,lochouse,cotv,locally,reco,1
assis,opauto,corefri,share,reco,1
tv,preshouse,corefri,locally,insight,1
hvac,lochouse,coassis,remserv,reco,0
alarm,alert,micro,share,nothing,1
refr,preshouse,colight,remserv,insight,1
light,opauto,watch,locally,nothing,1
alarm,lochouse,cohvac,locally,reco,1
assis,lochouse,locsens,share,insight,0
assis,alert,cosecu,locally,opti,1
tv,opauto,cam,share,reco,0
light,preshouse,coalarm,share,opti,0
wash,opauto,cotv,remserv,nothing,1
secu,alert,cowash,remserv,opti,1
tv,opauto,micro,share,opti,1
hvac,lochouse,cotv,remserv,opti,0
light,alert,locsens,remserv,reco,0
secu,opauto,colight,locally,insight,1
secu,preshouse,cosecu,share,reco,0
refr,lochouse,corefri,share,nothing,0
alarm,lochouse,cowash,locally,opti,0
alarm,alert,watch,share,insight,0
tv,preshouse,cohvac,locally,nothing,0
wash,opauto,coalarm,remserv,insight,0
assis,preshouse,cam,remserv,nothing,1
refr,alert,coassis,locally,reco,0
light,lochouse,corefri,share,insight,0
tv,alert,cowash,share,nothing,1
wash,opauto,colight,locally,nothing,1
assis,opauto,cohvac,share,reco,0
assis,preshouse,cotv,locally,insight,1
wash,preshouse,cosecu,share,opti,1
secu,preshouse,cam,remserv,insight,1
light,alert,coassis,locally,opti,1
tv,lochouse,coalarm,locally,reco,1
alarm,alert,locsens,remserv,opti,1
hvac,opauto,watch,remserv,nothing,1
refr,lochouse,micro,remserv,reco,0
hvac,preshouse,corefri,remserv,insight,1
tv,lochouse,coassis,share,insight,0
alarm,opauto,cotv,share,reco,0
wash,lochouse,cohvac,remserv,reco,1
secu,alert,coalarm,share,nothing,0
alarm,preshouse,micro,locally,insight,1
refr,alert,cosecu,remserv,opti,1
assis,opauto,locsens,locally,nothing,1
light,opauto,cowash,remserv,nothing,1
secu,lochouse,watch,locally,reco,1
tv,alert,cam,locally,opti,1
assis,preshouse,colight,share,opti,0
light,opauto,colight,share,reco,1
light,preshouse,locsens,locally,insight,1
secu,lochouse,cosecu,remserv,reco,1
wash,lochouse,cowash,share,insight,0
alarm,preshouse,watch,remserv,insight,0
hvac,preshouse,cohvac,share,opti,1
assis,lochouse,cam,locally,reco,1
hvac,opauto,cotv,locally,nothing,0
wash,alert,coalarm,locally,opti,1
tv,alert,micro,remserv,opti,1
assis,alert,coassis,share,nothing,1
refr,opauto,corefri,remserv,nothing,1
refr,lochouse,locsens,share,insight,0
alarm,opauto,cotv,remserv,nothing,0
wash,lochouse,cohvac,locally,reco,1
refr,alert,cosecu,locally,opti,1
hvac,preshouse,corefri,locally,insight,1
tv,lochouse,coassis,remserv,reco,0
wash,alert,micro,share,nothing,0
secu,opauto,watch,locally,nothing,1
light,alert,cowash,remserv,opti,0
secu,preshouse,coalarm,share,opti,0
assis,preshouse,colight,remserv,insight,0
hvac,opauto,cam,share,reco,0
alarm,lochouse,colight,remserv,nothing,1
light,opauto,corefri,remserv,opti,1
refr,preshouse,cotv,share,insight,0
refr,opauto,micro,locally,opti,1
hvac,alert,watch,locally,insight,1
assis,alert,cohvac,remserv,insight,0
wash,preshouse,cosecu,locally,reco,0
secu,lochouse,cam,locally,nothing,1
secu,alert,coassis,share,opti,0
wash,opauto,locsens,share,nothing,0
tv,preshouse,cowash,remserv,reco,0
hvac,lochouse,coalarm,share,reco,0
light,preshouse,watch,locally,insight,0
wash,lochouse,cotv,share,insight,0
assis,alert,locsens,share,nothing,1
hvac,preshouse,coassis,share,opti,1
wash,alert,micro,locally,opti,1
alarm,preshouse,cohvac,remserv,insight,1
assis,lochouse,cosecu,locally,reco,1
hvac,opauto,cam,locally,nothing,1
refr,opauto,colight,remserv,nothing,1
light,opauto,coalarm,share,reco,0
secu,lochouse,cowash,remserv,reco,0
tv,alert,corefri,remserv,opti,1
tv,alert,colight,remserv,reco,1
secu,preshouse,micro,locally,nothing,1
hvac,preshouse,locsens,share,reco,1
assis,opauto,cowash,remserv,insight,1
wash,alert,corefri,locally,reco,0
wash,lochouse,cam,share,nothing,0
light,lochouse,cohvac,remserv,opti,1
refr,alert,coalarm,share,insight,1
refr,lochouse,watch,locally,opti,1
secu,opauto,cotv,share,opti,1
alarm,preshouse,coassis,remserv,nothing,1
hvac,opauto,cosecu,locally,insight,1
hvac,preshouse,coalarm,locally,reco,0
assis,preshouse,micro,remserv,reco,0
refr,lochouse,cohvac,share,reco,0
secu,opauto,coassis,locally,opti,0
wash,opauto,locsens,remserv,opti,0
tv,lochouse,watch,remserv,nothing,0
refr,alert,cotv,locally,insight,0
alarm,alert,cosecu,share,opti,0
hvac,opauto,cowash,share,nothing,0
light,alert,cam,remserv,insight,0
alarm,lochouse,colight,locally,nothing,0
secu,preshouse,corefri,share,insight,0
assis,preshouse,coassis,locally,nothing,1
tv,alert,cohvac,share,insight,0
alarm,opauto,coalarm,locally,insight,1
alarm,preshouse,cowash,share,reco,0
refr,lochouse,cam,remserv,opti,1
secu,lochouse,colight,share,nothing,0
hvac,opauto,micro,remserv,insight,1
wash,alert,watch,remserv,reco,1
assis,opauto,corefri,share,opti,1
secu,alert,locsens,locally,reco,1
tv,lochouse,cotv,locally,opti,1
light,preshouse,cosecu,remserv,nothing,1
alarm,opauto,micro,remserv,insight,1
hvac,opauto,corefri,share,opti,1
wash,lochouse,cotv,locally,opti,1
light,opauto,coalarm,locally,insight,1
assis,alert,locsens,locally,reco,1
assis,lochouse,colight,share,nothing,1
secu,alert,watch,remserv,reco,1
