@relation 'Framing2-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R2-6,1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
wash,opauto,cowash,locally,reco,1
hvac,lochouse,cohvac,locally,insight,1
light,preshouse,colight,remserv,opti,1
assis,lochouse,coassis,remserv,insight,1
assis,alert,colight,share,reco,0
wash,alert,cotv,locally,nothing,0
secu,lochouse,watch,remserv,insight,0
light,opauto,cowash,share,insight,0
hvac,alert,corefri,remserv,nothing,0
wash,lochouse,cohvac,share,opti,0
alarm,preshouse,micro,remserv,opti,1
refr,opauto,cosecu,remserv,reco,0
assis,lochouse,locsens,locally,insight,1
tv,opauto,cam,locally,reco,0
tv,preshouse,coassis,share,nothing,0
light,preshouse,coalarm,locally,opti,1
wash,lochouse,corefri,locally,insight,0
light,opauto,cohvac,locally,reco,0
tv,lochouse,colight,remserv,insight,0
light,preshouse,micro,share,nothing,0
hvac,preshouse,cosecu,locally,opti,1
refr,lochouse,coalarm,share,opti,0
hvac,opauto,locsens,share,insight,0
refr,alert,watch,locally,nothing,0
wash,alert,cam,share,reco,0
secu,alert,cotv,remserv,nothing,0
alarm,opauto,coassis,remserv,reco,0
assis,preshouse,cowash,remserv,opti,0
hvac,lochouse,corefri,locally,insight,1
light,preshouse,cowash,remserv,opti,0
secu,alert,watch,locally,nothing,1
secu,lochouse,coalarm,share,opti,1
hvac,alert,cam,share,reco,0
refr,opauto,locsens,share,insight,0
wash,preshouse,micro,share,nothing,0
refr,preshouse,cosecu,locally,opti,1
tv,opauto,coassis,remserv,reco,1
wash,opauto,cohvac,locally,reco,1
alarm,alert,cotv,remserv,nothing,1
assis,lochouse,colight,remserv,insight,1
alarm,lochouse,cosecu,share,opti,0
secu,opauto,corefri,share,insight,0
secu,preshouse,coassis,locally,opti,1
hvac,opauto,coalarm,locally,reco,1
wash,preshouse,locsens,remserv,opti,1
refr,lochouse,cotv,locally,insight,1
hvac,preshouse,cowash,share,nothing,0
tv,alert,watch,remserv,nothing,1
assis,opauto,micro,remserv,reco,1
light,lochouse,cam,remserv,insight,1
refr,alert,cohvac,share,reco,0
alarm,alert,colight,locally,nothing,1
wash,preshouse,colight,share,nothing,0
refr,opauto,cohvac,share,insight,1
assis,lochouse,micro,remserv,insight,1
tv,opauto,watch,remserv,reco,1
secu,alert,coassis,locally,nothing,1
light,preshouse,cam,remserv,opti,0
alarm,alert,cosecu,remserv,nothing,1
wash,opauto,locsens,locally,reco,0
secu,lochouse,corefri,share,opti,0
hvac,alert,cowash,share,reco,0
hvac,lochouse,coalarm,locally,insight,1
refr,preshouse,cotv,locally,opti,0
hvac,preshouse,cowash,remserv,insight,1
assis,opauto,micro,locally,nothing,1
tv,lochouse,coalarm,share,insight,0
secu,lochouse,corefri,locally,reco,1
refr,alert,cohvac,remserv,opti,1
assis,preshouse,cotv,share,opti,0
secu,alert,cam,share,nothing,1
tv,alert,watch,locally,opti,1
light,opauto,coassis,remserv,nothing,0
alarm,preshouse,cosecu,locally,insight,1
wash,lochouse,colight,remserv,reco,1
alarm,opauto,locsens,share,reco,0
assis,lochouse,micro,share,opti,0
refr,preshouse,cotv,remserv,opti,1
secu,opauto,coassis,locally,reco,1
secu,preshouse,corefri,share,nothing,1
alarm,alert,cosecu,share,reco,0
tv,opauto,watch,share,insight,0
assis,alert,cohvac,locally,nothing,1
hvac,lochouse,coalarm,remserv,insight,1
wash,opauto,locsens,remserv,reco,1
alarm,lochouse,colight,locally,insight,0
tv,preshouse,cowash,locally,opti,1
light,alert,cam,remserv,nothing,0
secu,alert,corefri,remserv,nothing,0
alarm,opauto,cosecu,remserv,reco,0
refr,alert,cotv,locally,nothing,1
wash,lochouse,locsens,locally,insight,0
light,opauto,cam,locally,reco,0
hvac,opauto,cowash,share,insight,0
wash,alert,colight,share,reco,0
refr,lochouse,cohvac,share,opti,0
hvac,preshouse,coalarm,locally,opti,1
assis,preshouse,micro,remserv,opti,0
tv,lochouse,watch,remserv,insight,0
light,preshouse,coassis,share,nothing,0
refr,lochouse,cam,remserv,reco,0
hvac,opauto,micro,remserv,nothing,1
light,lochouse,cosecu,share,insight,0
tv,alert,cohvac,share,nothing,1
